voltage	series1	
0	-0.3277733
0.0275	-0.326163
0.055	-0.3205226
0.083	-0.3163977
0.1105	-0.3107137
0.138	-0.3076659
0.1655	-0.3004941
0.193	-0.2953696
0.2205	-0.2894914
0.2485	-0.2845868
0.276	-0.2776149
0.3035	-0.2702356
0.331	-0.2611112
0.3585	-0.2515304
0.386	-0.2421064
0.414	-0.2253135
0.4415	-0.2068043
0.469	-0.1766038
0.4965	-0.1307068
0.524	-0.05930492
0.5515	0.03694388
0.5795	0.1645362
0.607	0.3158605
0.6345	0.4871128
0.662	0.6750107
0.6895	0.876369
0.717	1.088648
0.745	1.315845
0.7725	1.545196
0.8	1.781186
